metric,section,model_value,original_value,mean_diff,std_diff,p_value,n,auroc,accuracy,detail
CER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,3.7685952233915576,16.269078953643213,-12.500483730251656,,,1109,,,CER_Qwen3-ASR-0.6B
CER_whisper-large-v3,Intelligibility and Interruption Metrics,2.8457009055182505,13.989411457090513,-11.143710551572262,,,1109,,,CER_whisper-large-v3
WER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,9.736868728519747,28.276550282770096,-18.53968155425035,,,1109,,,WER_Qwen3-ASR-0.6B
WER_whisper-large-v3,Intelligibility and Interruption Metrics,7.071620423969648,20.107947202563302,-13.036326778593654,,,1109,,,WER_whisper-large-v3
UTMOS,Intelligibility and Interruption Metrics,4.360936127663519,2.320746826933663,2.0401893007298555,,,1109,,,UTMOS
latency,Intelligibility and Interruption Metrics,29.03516681695221,415.39235412474846,-386.35718730779627,,,1109,,,latency
average number of interruptions per dialogues,Intelligibility and Interruption Metrics,0.0,0.5503018108651911,-0.5503018108651911,,,1109,,,interruption_segments
interrupted time (s),Intelligibility and Interruption Metrics,0.0,0.5217686116700145,-0.5217686116700145,,,1109,,,interrupted
number of dialogues with interruption,Intelligibility and Interruption Metrics,0/1109,377/994,-377.0,,,1109,,,interruptions count
mean_nll,Turn Taking Surprisal,2.3406930301124595,3.392070671418477,-1.0513776413060176,1.7919939728686738,6.888470404600214e-23,331,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
tail_nll,Turn Taking Surprisal,2.343825159116094,3.520741825309412,-1.1769166661933181,1.9330765804018104,4.457567917982541e-23,331,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
dialog_nll,Turn Taking Surprisal,2.3422590946142767,3.4564062483639444,-1.1141471537496677,1.8564981606313133,5.109917819085323e-23,331,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
naturalness_score,Turn Taking Surprisal,2.3422590946142767,3.4564062483639444,-1.1141471537496677,1.8564981606313133,5.109917819085323e-23,331,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
English language detected in original answers (%),Language and Dialect ID,,,99.73544973544973,,,1134,,,percentage of language_id.csv rows with language=eng; numerator=1131; denominator=1134
Second most spoken language in original answers,Language and Dialect ID,,,0.08818342151675485,,,1134,,,language=Vietnamese; numerator=1; denominator=1134
English language detected in model answers (%),Language and Dialect ID,,,98.51301115241635,,,1076,,,percentage of language_id.csv rows with language=eng; numerator=1060; denominator=1076
Second most spoken language in model answers,Language and Dialect ID,,,0.37174721189591076,,,1076,,,language=Chinese; numerator=4; denominator=1076
Question dialect: East Asia (%),Language and Dialect ID,,,0.3472222222222222,,,1152,,,percentage of dialect_id.csv rows where dialect=East Asia; numerator=4; denominator=1152
Question dialect: English (%),Language and Dialect ID,,,0.08680555555555555,,,1152,,,percentage of dialect_id.csv rows where dialect=English; numerator=1; denominator=1152
Question dialect: Germanic (%),Language and Dialect ID,,,0.08680555555555555,,,1152,,,percentage of dialect_id.csv rows where dialect=Germanic; numerator=1; denominator=1152
Question dialect: Irish (%),Language and Dialect ID,,,5.381944444444445,,,1152,,,percentage of dialect_id.csv rows where dialect=Irish; numerator=62; denominator=1152
Question dialect: North America (%),Language and Dialect ID,,,76.82291666666667,,,1152,,,percentage of dialect_id.csv rows where dialect=North America; numerator=885; denominator=1152
Question dialect: Northern Irish (%),Language and Dialect ID,,,0.0,,,1152,,,percentage of dialect_id.csv rows where dialect=Northern Irish; numerator=0; denominator=1152
Question dialect: Oceania (%),Language and Dialect ID,,,0.08680555555555555,,,1152,,,percentage of dialect_id.csv rows where dialect=Oceania; numerator=1; denominator=1152
