metric,section,model_value,original_value,mean_diff,std_diff,p_value,n,auroc,accuracy,detail
CER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,77.81713026944523,16.269078953643213,61.54805131580201,,,988,,,CER_Qwen3-ASR-0.6B
CER_whisper-large-v3,Intelligibility and Interruption Metrics,77.73556638383606,13.989411457090513,63.74615492674555,,,988,,,CER_whisper-large-v3
WER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,76.30382681770038,28.276550282770096,48.02727653493029,,,988,,,WER_Qwen3-ASR-0.6B
WER_whisper-large-v3,Intelligibility and Interruption Metrics,75.77935426115326,20.107947202563302,55.671407058589956,,,988,,,WER_whisper-large-v3
UTMOS,Intelligibility and Interruption Metrics,3.7837278959963485,2.320746826933663,1.4629810690626854,,,988,,,UTMOS
latency,Intelligibility and Interruption Metrics,152.22672064777328,415.39235412474846,-263.1656334769752,,,988,,,latency
average number of interruptions per dialogues,Intelligibility and Interruption Metrics,0.0,0.5503018108651911,-0.5503018108651911,,,988,,,interruption_segments
interrupted time (s),Intelligibility and Interruption Metrics,0.0,0.5217686116700145,-0.5217686116700145,,,988,,,interrupted
number of dialogues with interruption,Intelligibility and Interruption Metrics,0/988,377/994,-377.0,,,988,,,interruptions count
mean_nll,Turn Taking Surprisal,4.796575528448526,4.439063029374451,0.35751249907407434,1.202455891539616,2.2008888000230755e-20,984,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
tail_nll,Turn Taking Surprisal,5.859864828028818,5.285752121400148,0.5741127066286698,1.3832139686366096,7.685610358429252e-34,984,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
dialog_nll,Turn Taking Surprisal,5.328220178238671,4.8624075753873,0.46581260285137116,1.2362063393372498,8.626961874259576e-29,984,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
naturalness_score,Turn Taking Surprisal,5.328220178238671,4.8624075753873,0.46581260285137116,1.2362063393372498,8.626961874259576e-29,984,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
English language detected in original answers (%),Language and Dialect ID,,,99.73544973544973,,,1134,,,percentage of language_id.csv rows with language=eng; numerator=1131; denominator=1134
Second most spoken language in original answers,Language and Dialect ID,,,0.08818342151675485,,,1134,,,language=Vietnamese; numerator=1; denominator=1134
English language detected in model answers (%),Language and Dialect ID,,,99.8965873836608,,,967,,,percentage of language_id.csv rows with language=eng; numerator=966; denominator=967
Second most spoken language in model answers,Language and Dialect ID,,,0.10341261633919338,,,967,,,language=mlg; numerator=1; denominator=967
Question dialect: East Asia (%),Language and Dialect ID,,,0.4048582995951417,,,988,,,percentage of dialect_id.csv rows where dialect=East Asia; numerator=4; denominator=988
Question dialect: English (%),Language and Dialect ID,,,0.0,,,988,,,percentage of dialect_id.csv rows where dialect=English; numerator=0; denominator=988
Question dialect: Germanic (%),Language and Dialect ID,,,0.10121457489878542,,,988,,,percentage of dialect_id.csv rows where dialect=Germanic; numerator=1; denominator=988
Question dialect: Irish (%),Language and Dialect ID,,,5.870445344129554,,,988,,,percentage of dialect_id.csv rows where dialect=Irish; numerator=58; denominator=988
Question dialect: North America (%),Language and Dialect ID,,,80.76923076923077,,,988,,,percentage of dialect_id.csv rows where dialect=North America; numerator=798; denominator=988
Question dialect: Northern Irish (%),Language and Dialect ID,,,0.0,,,988,,,percentage of dialect_id.csv rows where dialect=Northern Irish; numerator=0; denominator=988
Question dialect: Oceania (%),Language and Dialect ID,,,0.10121457489878542,,,988,,,percentage of dialect_id.csv rows where dialect=Oceania; numerator=1; denominator=988
