metric,section,model_value,original_value,mean_diff,std_diff,p_value,n,auroc,accuracy,detail
CER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,6.830998137336217,19.70491706596681,-12.873918928630594,,,1926,,,CER_Qwen3-ASR-0.6B
CER_whisper-large-v3,Intelligibility and Interruption Metrics,9.771126206149056,17.13227012803152,-7.361143921882466,,,1930,,,CER_whisper-large-v3
WER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,21.42889192783582,32.239595784360304,-10.810703856524484,,,1926,,,WER_Qwen3-ASR-0.6B
WER_whisper-large-v3,Intelligibility and Interruption Metrics,17.852140183286412,25.42298078663514,-7.570840603348728,,,1930,,,WER_whisper-large-v3
UTMOS,Intelligibility and Interruption Metrics,4.1920033047853975,2.165524983667763,2.0264783211176347,,,1930,,,UTMOS
latency,Intelligibility and Interruption Metrics,277.0984455958549,929.6360485268631,-652.5376029310082,,,1930,,,latency
average number of interruptions per dialogues,Intelligibility and Interruption Metrics,0.0,0.5025996533795494,-0.5025996533795494,,,1930,,,interruption_segments
interrupted time (s),Intelligibility and Interruption Metrics,0.0,0.5204240323512354,-0.5204240323512354,,,1930,,,interrupted
number of dialogues with interruption,Intelligibility and Interruption Metrics,0/1930,545/1731,-545.0,,,1930,,,interruptions count
mean_nll,Turn Taking Surprisal,4.739199792538576,3.9220984000715045,0.8171013924670718,2.0309710152553153,8.836905100470546e-27,581,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
tail_nll,Turn Taking Surprisal,5.1748177971705855,4.1670074320954695,1.007810365075116,2.4109761769828237,1.3637992380306807e-24,581,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
dialog_nll,Turn Taking Surprisal,4.9570087948545805,4.044552916083487,0.9124558787710937,2.191993689303536,5.278558470018296e-26,581,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
naturalness_score,Turn Taking Surprisal,4.9570087948545805,4.044552916083487,0.9124558787710937,2.191993689303536,5.278558470018296e-26,581,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
English language detected in original answers (%),Language and Dialect ID,,,99.01332017760237,,,2027,,,percentage of language_id.csv rows with language=eng; numerator=2007; denominator=2027
Second most spoken language in original answers,Language and Dialect ID,,,0.3453379378391712,,,2027,,,language=dan; numerator=7; denominator=2027
