metric,section,model_value,original_value,mean_diff,std_diff,p_value,n,auroc,accuracy,detail
CER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,30.350457445404874,16.269078953643213,14.081378491761662,,,804,,,CER_Qwen3-ASR-0.6B
CER_whisper-large-v3,Intelligibility and Interruption Metrics,3.486819513544116,13.989411457090513,-10.502591943546397,,,812,,,CER_whisper-large-v3
WER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,38.048735793807126,28.276550282770096,9.77218551103703,,,804,,,WER_Qwen3-ASR-0.6B
WER_whisper-large-v3,Intelligibility and Interruption Metrics,7.89087939647285,20.107947202563302,-12.217067806090451,,,812,,,WER_whisper-large-v3
UTMOS,Intelligibility and Interruption Metrics,4.13278044992023,2.320746826933663,1.8120336229865672,,,810,,,UTMOS
latency,Intelligibility and Interruption Metrics,68.71165644171779,415.39235412474846,-346.68069768303064,,,815,,,latency
average number of interruptions per dialogues,Intelligibility and Interruption Metrics,0.0,0.5503018108651911,-0.5503018108651911,,,815,,,interruption_segments
interrupted time (s),Intelligibility and Interruption Metrics,0.0,0.5217686116700145,-0.5217686116700145,,,815,,,interrupted
number of dialogues with interruption,Intelligibility and Interruption Metrics,0/815,377/994,-377.0,,,815,,,interruptions count
mean_nll,Turn Taking Surprisal,4.868891112508231,4.439063029374451,0.4298280831337795,1.3242109046088129,6.278512013311315e-20,811,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
tail_nll,Turn Taking Surprisal,5.911267054227253,5.285752121400148,0.6255149328271052,1.4713298394326906,2.0151213950212752e-36,811,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
dialog_nll,Turn Taking Surprisal,5.390079083367742,4.8624075753873,0.5276715079804424,1.3283412258683502,3.758688670574623e-31,811,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
naturalness_score,Turn Taking Surprisal,5.390079083367742,4.8624075753873,0.5276715079804424,1.3283412258683502,3.758688670574623e-31,811,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
English language detected in original answers (%),Language and Dialect ID,,,99.73544973544973,,,1134,,,percentage of language_id.csv rows with language=eng; numerator=1131; denominator=1134
Second most spoken language in original answers,Language and Dialect ID,,,0.08818342151675485,,,1134,,,language=Vietnamese; numerator=1; denominator=1134
English language detected in model answers (%),Language and Dialect ID,,,99.62025316455696,,,790,,,percentage of language_id.csv rows with language=eng; numerator=787; denominator=790
Second most spoken language in model answers,Language and Dialect ID,,,0.12658227848101267,,,790,,,language=dan; numerator=1; denominator=790
Question dialect: East Asia (%),Language and Dialect ID,,,0.24539877300613497,,,815,,,percentage of dialect_id.csv rows where dialect=East Asia; numerator=2; denominator=815
Question dialect: English (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=English; numerator=0; denominator=815
Question dialect: Germanic (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=Germanic; numerator=0; denominator=815
Question dialect: Irish (%),Language and Dialect ID,,,5.644171779141105,,,815,,,percentage of dialect_id.csv rows where dialect=Irish; numerator=46; denominator=815
Question dialect: North America (%),Language and Dialect ID,,,80.24539877300613,,,815,,,percentage of dialect_id.csv rows where dialect=North America; numerator=654; denominator=815
Question dialect: Northern Irish (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=Northern Irish; numerator=0; denominator=815
Question dialect: Oceania (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=Oceania; numerator=0; denominator=815
Question dialect: Other (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=Other; numerator=0; denominator=815
Question dialect: Romance (%),Language and Dialect ID,,,9.693251533742332,,,815,,,percentage of dialect_id.csv rows where dialect=Romance; numerator=79; denominator=815
Question dialect: Scottish (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=Scottish; numerator=0; denominator=815
Question dialect: Semitic (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=Semitic; numerator=0; denominator=815
Question dialect: Slavic (%),Language and Dialect ID,,,0.12269938650306748,,,815,,,percentage of dialect_id.csv rows where dialect=Slavic; numerator=1; denominator=815
Question dialect: South African (%),Language and Dialect ID,,,0.0,,,815,,,percentage of dialect_id.csv rows where dialect=South African; numerator=0; denominator=815
