metric,section,model_value,original_value,mean_diff,std_diff,p_value,n,auroc,accuracy,detail
CER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,26.094511611087384,19.70491706596681,6.389594545120573,,,1390,,,CER_Qwen3-ASR-0.6B
CER_whisper-large-v3,Intelligibility and Interruption Metrics,27.20653717056991,17.13227012803152,10.074267042538388,,,1415,,,CER_whisper-large-v3
WER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,28.846996316628662,32.239595784360304,-3.3925994677316424,,,1390,,,WER_Qwen3-ASR-0.6B
WER_whisper-large-v3,Intelligibility and Interruption Metrics,28.784715539614226,25.42298078663514,3.3617347529790855,,,1415,,,WER_whisper-large-v3
UTMOS,Intelligibility and Interruption Metrics,4.105261965901002,2.165524983667763,1.9397369822332395,,,1392,,,UTMOS
latency,Intelligibility and Interruption Metrics,106.5677966101695,929.6360485268631,-823.0682519166936,,,1416,,,latency
average number of interruptions per dialogues,Intelligibility and Interruption Metrics,0.0,0.5025996533795494,-0.5025996533795494,,,1416,,,interruption_segments
interrupted time (s),Intelligibility and Interruption Metrics,0.0,0.5204240323512354,-0.5204240323512354,,,1416,,,interrupted
number of dialogues with interruption,Intelligibility and Interruption Metrics,0/1416,545/1731,-545.0,,,1416,,,interruptions count
mean_nll,Turn Taking Surprisal,4.733246284212589,4.5246644630427175,0.20858182116987134,1.2668135292974132,1.4885926631514956e-08,1413,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
tail_nll,Turn Taking Surprisal,5.915652254578194,5.598169752594041,0.31748250198415295,1.3777232188570783,1.7740320955780654e-18,1413,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
dialog_nll,Turn Taking Surprisal,5.324449269395391,5.0614171078183805,0.26303216157701037,1.240176838683952,1.4907511079769317e-15,1413,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
naturalness_score,Turn Taking Surprisal,5.324449269395391,5.0614171078183805,0.26303216157701037,1.240176838683952,1.4907511079769317e-15,1413,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
English language detected in original answers (%),Language and Dialect ID,,,99.01332017760237,,,2027,,,percentage of language_id.csv rows with language=eng; numerator=2007; denominator=2027
Second most spoken language in original answers,Language and Dialect ID,,,0.3453379378391712,,,2027,,,language=dan; numerator=7; denominator=2027
English language detected in model answers (%),Language and Dialect ID,,,99.70414201183432,,,1352,,,percentage of language_id.csv rows with language=eng; numerator=1348; denominator=1352
Second most spoken language in model answers,Language and Dialect ID,,,0.07396449704142012,,,1352,,,language=nob; numerator=1; denominator=1352
Question dialect: East Asia (%),Language and Dialect ID,,,1.9067796610169492,,,1416,,,percentage of dialect_id.csv rows where dialect=East Asia; numerator=27; denominator=1416
Question dialect: English (%),Language and Dialect ID,,,0.5649717514124294,,,1416,,,percentage of dialect_id.csv rows where dialect=English; numerator=8; denominator=1416
Question dialect: Germanic (%),Language and Dialect ID,,,0.2824858757062147,,,1416,,,percentage of dialect_id.csv rows where dialect=Germanic; numerator=4; denominator=1416
Question dialect: Irish (%),Language and Dialect ID,,,4.519774011299435,,,1416,,,percentage of dialect_id.csv rows where dialect=Irish; numerator=64; denominator=1416
Question dialect: North America (%),Language and Dialect ID,,,68.4322033898305,,,1416,,,percentage of dialect_id.csv rows where dialect=North America; numerator=969; denominator=1416
Question dialect: Northern Irish (%),Language and Dialect ID,,,0.0,,,1416,,,percentage of dialect_id.csv rows where dialect=Northern Irish; numerator=0; denominator=1416
Question dialect: Oceania (%),Language and Dialect ID,,,0.2824858757062147,,,1416,,,percentage of dialect_id.csv rows where dialect=Oceania; numerator=4; denominator=1416
Question dialect: Other (%),Language and Dialect ID,,,0.14124293785310735,,,1416,,,percentage of dialect_id.csv rows where dialect=Other; numerator=2; denominator=1416
Question dialect: Romance (%),Language and Dialect ID,,,16.596045197740114,,,1416,,,percentage of dialect_id.csv rows where dialect=Romance; numerator=235; denominator=1416
Question dialect: Scottish (%),Language and Dialect ID,,,0.211864406779661,,,1416,,,percentage of dialect_id.csv rows where dialect=Scottish; numerator=3; denominator=1416
Question dialect: Semitic (%),Language and Dialect ID,,,0.3531073446327684,,,1416,,,percentage of dialect_id.csv rows where dialect=Semitic; numerator=5; denominator=1416
Question dialect: Slavic (%),Language and Dialect ID,,,0.14124293785310735,,,1416,,,percentage of dialect_id.csv rows where dialect=Slavic; numerator=2; denominator=1416
Question dialect: South African (%),Language and Dialect ID,,,0.2824858757062147,,,1416,,,percentage of dialect_id.csv rows where dialect=South African; numerator=4; denominator=1416
Question dialect: Southeast Asia (%),Language and Dialect ID,,,1.3418079096045197,,,1416,,,percentage of dialect_id.csv rows where dialect=Southeast Asia; numerator=19; denominator=1416
Question dialect: South Asia (%),Language and Dialect ID,,,0.14124293785310735,,,1416,,,percentage of dialect_id.csv rows where dialect=South Asia; numerator=2; denominator=1416
Question dialect: Welsh (%),Language and Dialect ID,,,0.0,,,1416,,,percentage of dialect_id.csv rows where dialect=Welsh; numerator=0; denominator=1416
Answer dialect: East Asia (%),Language and Dialect ID,,,0.0,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=East Asia; numerator=0; denominator=1348
Answer dialect: English (%),Language and Dialect ID,,,0.0,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=English; numerator=0; denominator=1348
Answer dialect: Germanic (%),Language and Dialect ID,,,0.07418397626112759,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Germanic; numerator=1; denominator=1348
Answer dialect: Irish (%),Language and Dialect ID,,,1.0385756676557865,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Irish; numerator=14; denominator=1348
Answer dialect: North America (%),Language and Dialect ID,,,96.81008902077151,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=North America; numerator=1305; denominator=1348
Answer dialect: Northern Irish (%),Language and Dialect ID,,,0.0,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Northern Irish; numerator=0; denominator=1348
Answer dialect: Oceania (%),Language and Dialect ID,,,0.07418397626112759,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Oceania; numerator=1; denominator=1348
Answer dialect: Other (%),Language and Dialect ID,,,0.22255192878338279,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Other; numerator=3; denominator=1348
Answer dialect: Romance (%),Language and Dialect ID,,,1.4094955489614243,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Romance; numerator=19; denominator=1348
Answer dialect: Scottish (%),Language and Dialect ID,,,0.0,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Scottish; numerator=0; denominator=1348
Answer dialect: Semitic (%),Language and Dialect ID,,,0.0,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Semitic; numerator=0; denominator=1348
Answer dialect: Slavic (%),Language and Dialect ID,,,0.07418397626112759,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Slavic; numerator=1; denominator=1348
Answer dialect: South African (%),Language and Dialect ID,,,0.0,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=South African; numerator=0; denominator=1348
Answer dialect: Southeast Asia (%),Language and Dialect ID,,,0.07418397626112759,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Southeast Asia; numerator=1; denominator=1348
Answer dialect: South Asia (%),Language and Dialect ID,,,0.22255192878338279,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=South Asia; numerator=3; denominator=1348
Answer dialect: Welsh (%),Language and Dialect ID,,,0.0,,,1348,,,percentage of dialect_id.csv rows where answer_dialect=Welsh; numerator=0; denominator=1348
