metric,section,model_value,original_value,mean_diff,std_diff,p_value,n,auroc,accuracy,detail
CER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,4.182610830957851,19.70491706596681,-15.522306235008958,,,1714,,,CER_Qwen3-ASR-0.6B
CER_whisper-large-v3,Intelligibility and Interruption Metrics,4.550977474228566,17.13227012803152,-12.581292653802954,,,1721,,,CER_whisper-large-v3
WER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,6.350682360445068,32.239595784360304,-25.888913423915234,,,1714,,,WER_Qwen3-ASR-0.6B
WER_whisper-large-v3,Intelligibility and Interruption Metrics,6.493780269974904,25.42298078663514,-18.929200516660238,,,1721,,,WER_whisper-large-v3
UTMOS,Intelligibility and Interruption Metrics,3.864092341694009,2.165524983667763,1.6985673580262461,,,1721,,,UTMOS
latency,Intelligibility and Interruption Metrics,112.49273678094131,929.6360485268631,-817.1433117459218,,,1721,,,latency
average number of interruptions per dialogues,Intelligibility and Interruption Metrics,0.8082510168506682,0.5025996533795494,0.3056513634711189,,,1721,,,interruption_segments
interrupted time (s),Intelligibility and Interruption Metrics,1.1661247457873256,0.5204240323512354,0.6457007134360903,,,1721,,,interrupted
number of dialogues with interruption,Intelligibility and Interruption Metrics,975/1721,545/1731,430.0,,,1721,,,interruptions count
mean_nll,Turn Taking Surprisal,2.08208827688539,3.9220984000715045,-1.8400101231861146,1.5510922443567472,8.329188895715218e-201,882,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
tail_nll,Turn Taking Surprisal,2.08208827688539,4.1670074320954695,-2.0849191552100796,1.7531344683562669,8.049285008389831e-201,882,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
dialog_nll,Turn Taking Surprisal,2.08208827688539,4.044552916083487,-1.9624646391980969,1.640859617436784,8.081722693013291e-201,882,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
naturalness_score,Turn Taking Surprisal,2.08208827688539,4.044552916083487,-1.9624646391980969,1.640859617436784,8.081722693013291e-201,882,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
English language detected in original answers (%),Language and Dialect ID,,,99.01332017760237,,,2027,,,percentage of language_id.csv rows with language=eng; numerator=2007; denominator=2027
