metric,section,model_value,original_value,mean_diff,std_diff,p_value,n,auroc,accuracy,detail
CER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,78.39349647188929,19.70491706596681,58.68857940592248,,,1721,,,CER_Qwen3-ASR-0.6B
CER_whisper-large-v3,Intelligibility and Interruption Metrics,78.33087404322296,17.13227012803152,61.19860391519144,,,1721,,,CER_whisper-large-v3
WER_Qwen3-ASR-0.6B,Intelligibility and Interruption Metrics,76.99461513480615,32.239595784360304,44.75501935044585,,,1721,,,WER_Qwen3-ASR-0.6B
WER_whisper-large-v3,Intelligibility and Interruption Metrics,76.60041027658325,25.42298078663514,51.17742948994811,,,1721,,,WER_whisper-large-v3
UTMOS,Intelligibility and Interruption Metrics,3.6846400995298847,2.165524983667763,1.519115115862122,,,1721,,,UTMOS
latency,Intelligibility and Interruption Metrics,178.44276583381756,929.6360485268631,-751.1932826930455,,,1721,,,latency
average number of interruptions per dialogues,Intelligibility and Interruption Metrics,0.0,0.5025996533795494,-0.5025996533795494,,,1721,,,interruption_segments
interrupted time (s),Intelligibility and Interruption Metrics,0.0,0.5204240323512354,-0.5204240323512354,,,1721,,,interrupted
number of dialogues with interruption,Intelligibility and Interruption Metrics,0/1721,545/1731,-545.0,,,1721,,,interruptions count
mean_nll,Turn Taking Surprisal,4.688417356429553,4.5246644630427175,0.1637528933868353,1.145210410416736,1.709993739239162e-09,1714,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
tail_nll,Turn Taking Surprisal,5.916820883553539,5.598169752594041,0.3186511309594984,1.2628587734669487,9.003213221717605e-22,1714,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
dialog_nll,Turn Taking Surprisal,5.3026191199915464,5.0614171078183805,0.24120201217316595,1.1294671765139335,7.151268906170369e-17,1714,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
naturalness_score,Turn Taking Surprisal,5.3026191199915464,5.0614171078183805,0.24120201217316595,1.1294671765139335,7.151268906170369e-17,1714,,,turntaking.group4-dualturn-full-all6-fvad256.csv; model-original; p-value is Mann-Whitney U Test
English language detected in original answers (%),Language and Dialect ID,,,99.01332017760237,,,2027,,,percentage of language_id.csv rows with language=eng; numerator=2007; denominator=2027
Second most spoken language in original answers,Language and Dialect ID,,,0.3453379378391712,,,2027,,,language=dan; numerator=7; denominator=2027
English language detected in model answers (%),Language and Dialect ID,,,99.52774498229044,,,1694,,,percentage of language_id.csv rows with language=eng; numerator=1686; denominator=1694
